pais,fecha,anio,fuente,tipo,evento,detalle,causa,ref,url,texto,dup_cross
El Salvador,1984-06-18,1984,ONU Art.4,suspensión de garantías,extensión,,,,,"(Dated 14 June 1984) By Legislative Decree No. 28 of 27 January 1984, previous measures were amended to the effect that political parties would be permitted to conduct electoral campaigns, and were thus authorized to engage in partisan campaigning and electoral propaganda activities. The said Decree was extended for successive 30-day periods until the promulgation of Decree No. 97 of 17 May 1984, which rescinded theafore-mentioned change which had allowed political parties to conduct electoral campaigns. The provisions of the Covenant from which it is derogated are articles 12, 19, 17 (in respect of interference with correspondence) and 21 and 22. As regards article 22, the suspension refers to the right of association in general, but does not affect the right to join professional associations (the right to form and join trade unions).",
Colombia,1984-12-12,1984,ONU Art.4,estado de sitio,fin/levantamiento,,,,,(Dated 11 December 1984) Termination of derogation from article 21.,
El Salvador,1985-08-02,1985,ONU Art.4,ley marcial,extensión,,,,,"(Dated 31 July 1985) [...] the Government of El Salvador has for successive periods extended martial law by the following legislative decrees: Decrees No. 127 of 21 June 1984, No. 146 of 19 July 1984, No. 175 of 24 August 1984, No. 210 of 18 September 1984, No. 234 of 21 October 1984, No. 261 of 20 November 1984, No. 277 of 14 December 1984, No. 322 of 18 January 1985, No. 335 of 21 February 1985, No. 351 of 14 March 1985, No. 386 of 18 April 1985, No. 10 of 21 May 1985, No. 38 of 13 June 1985, and the most recent, Decree No. 96 of 11 July 1985 which extended the martial law for an additional period of 30 days beyond that date. The provisions of the Covenant that are thus suspended are those of articles 12, 17 (in respect of interference with correspondence) and 19 (2). The notification specifies that the reasons for the suspension of constitutional guarantees continue to be those originally indicated, namely: the need to maintain a climate of peace and tranquility, which had been disturbed through the commission of acts designed to create a state of instability and social unrest which affected the economy and the public peace by persons seeking to obstruct the process of structural change, thus seriously disrupting public order.",
Ecuador,1986-03-17,1986,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"(Dated 14 March 1986) Declaration of the State of emergency in the provinces of Pichincha and Manabi due to the acts of subversion and armed uprising by a high-ranking officer no longer on active service, backed by extremist groups; thereby derogations from articles 12, 21 and 22, it being understood that no Ecuadorian may be exiled or deported outside the capitals of the provinces or to a region other than the one in which he lives.",
Ecuador,1986-03-19,1986,ONU Art.4,estado de emergencia,declaración,,,,,(Dated 18 March 1986) End of State of emergency as from 17 March 1986.,
Chile,1986-09-23,1986,ONU Art.4,estado de sitio,declaración,,,,,"(Dated 16 September 1986) By Decree No. 1.037, the Government of Chile declared a state of siege throughout the national territory from 8 September to 6 December 1986, for as long as circumstances warrant. The notification specifies that Chile has been subjected to a wave of terrorist aggression of alarming proportions, that an alarming number of attacks have taken the lives of a significant number of citizens and armed forces personnel, massive stockpiles of weapons were discovered in terrorists hands, and that for the first time in the history of the Republic, a terrorist attack was launched on H.E. the President of the Republic. The notification specifies that the rights set forth in articles 9, 12, 13 and 19 of the Covenant would be derogated from.",
Chile,1986-10-29,1986,ONU Art.4,estado de sitio,fin/levantamiento,,,,,"(Dated 28 October 1986) Termination of State of siege by Decree No. 1074 of 26 September 1986 in the Eleventh Region and by Decree No. 1155 of 16 October 1986 in the 12th Region (with the exception of the Commune of Punta Arenas), in the Province of Chiloé in the Tenth Region, and in the Province of Parinacota in the First Region.",
Chile,1986-11-20,1986,ONU Art.4,estado de sitio,fin/levantamiento,,,,,"(Dated 20 November 1986) Termination of the state siege in the Provinces of Cardenal Caro in the 6th Region, Arauco in the 8th Region and Palena in the 10th Region.",
Chile,1987-01-29,1987,ONU Art.4,estado de sitio,fin/levantamiento,,,,,(Dated 20 January 1987) Termination of the state of siege throughout Chile as at 6 January 1987.,
Panamá,1987-06-21,1987,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 11 June 1987) Declaration of the State of emergency throughout the territory of the Republic of Panama. The notification specifies that the state of emergency was declared since, on 9 and 10 June 1987, there were outbreaks of violence, clashes between demonstrators and units of defence forces, and incitement to violence by individuals and political groups resulting in personal injury and considerable material damage. The measure was taken with a view to restoring law and order and safeguarding the life, the dignity and the property of Panamanian nationals and of foreigners living in Panama. The articles of the Covenant being derogated from are articles 12, paragraph 1; 17, with regard to the inviolability of correspondence; 19 and 21.",
Panamá,1987-07-01,1987,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,Termination of the State of emergency and reinstatement of all constitutional guarantees as at 30 June 1987.,
Ecuador,1987-10-29,1987,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 28 October 1987) Declaration of a state of national emergency throughout the national territory, effective as of 28 October 1987. [Derogation from articles 9 (1) and (2); 12 (1) and (2); 19 (2); and 21.] The notification states that this measure was made necessary as a result of an illegal call for a national strike which would lead to acts of vandalism, offences against persons and property and would disrupt the peace of the State and the proper exercise of the civic rights of Ecuadorians.",
Ecuador,1987-10-30,1987,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,Termination of the state of emergency throughout the national territory as from 0 hour on 29 October 1987.,
Ecuador,1988-06-03,1988,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"(Dated 1 June 1988) Declaration of a state of national emergency throughout the national territory, effective as of 9 p.m. on 31 May 1988. [Derogation from articles 9 (1) and (2); 12 (1) and (2); 19 (2); and 21.] The notification states that this measure is the necessary legal response to the 24 hour strike called for by the United Workers Front, which would result in acts of vandalism, violation of the security of persons and attacks on public and private property. (Dated 2 June 1988) Termination of the state of emergency throughout the national territory as from 1 June 1988.",
Chile,1988-08-31,1988,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"Termination of the state of emergency and of the state of danger of disturbance of the domestic peace in Chile as from 27 August 1988, [...] thereby bringing to an end all states of ex ception in the country, which is now in a situation of full legal normality.",
Venezuela,1989-04-12,1989,ONU Art.4,derogación PIDCP,otro,,,,,"(Dated 17 March 1989) Establishment of emergency measures and derogation from articles 9, 12, 17, 19 and 21 throughout Venezuela. The notification stipulates that derogation was effected due to a series of serious breaches of the peace having taken place throughout Caracas and in other cities in the country and outbursts of violence, acts of vandalism and violations of the security of Venezuelan individuals and households, leading to loss of life and the destruction of much property, thus causing a further deterioration in the economic situation of the country. (Dated 31 March 1989) Re-establishment as from 22 March 1989 of the constitutional safeguards which had been suspended as stated in the previous notification of 17 March 1989.",
Venezuela,1989-04-12,1989,ONU Art.4,derogación PIDCP,otro,,,,,"(Dated 17 March 1989) Establishment of emergency measures and derogation from articles 9, 12, 17, 19 and 21 throughout Venezuela. The notification stipulates that derogation was effected due to a series of serious breaches of the peace having taken place throughout Caracas and in other cities in the country and outbursts of violence, acts of vandalism and violations of the security of Venezuelan individuals and households, leading to loss of life and the destruction of much property, thus causing a further deterioration in the economic situation of the country. (Dated 31 March 1989) Re-establishment as from 22 March 1989 of the constitutional safeguards which had been suspended as stated in the previous notification of 17 March 1989.",
Argentina,1989-06-07,1989,ONU Art.4,estado de sitio,declaración,,,,,"(Dated 7 June 1989) Proclamation of the state of siege throughout the national territory for a period of 30 days in response to events [attacks and looting of retail shops, vandalism, use of firearms] whose seriousness jeopardizes the effective enjoyment of human rights and fundamental freedoms by the entire community. (Derogation from articles 9 and 21.)",
Argentina,1989-07-12,1989,ONU Art.4,estado de sitio,fin/levantamiento,,,,,(Dated 11 July 1989) Termination of the state of siege as from 27 June 1989 throughout the national territory.,
El Salvador,1989-12-19,1989,ONU Art.4,suspensión de garantías,otro,,,,,"(Dated 13 November 1989) Suspension for a period of 30 days as from 12 November 1990 of various constitutional guarantees. (Derogation from articles 12, 17, 19, 21 and 22 of the Covenant.) The notification indicates that this measure became necessary owing the use of terror and violence by the Frente Farabundo Marti to obtain the political authority, in complete disregard of previous elections.",
Trinidad y Tobago,1990-11-06,1990,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 15 August 1990) Proclamation of state of emergency in the Republic of Trinidad and Tobago as from 28 July 1990 for a period of ninety days and derogation from articles 9, 12, 21 and 14 (3).",
Suriname,1991-03-18,1991,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"Termination, as from 1 September 1989, of the state of emergency declared on 1 December 1986 in the territory of the Districts of Marowijne, Commewijne, Para, Brokopondo and in part of the territory of the district of Sipaliwini (between the Marowijne river and 56 o WLO. The articles of the Covenant being derogated from were articles 12, 21 and 22 of the Covenant.",
Colombia,1991-08-13,1991,ONU Art.4,estado de sitio,fin/levantamiento,,,,,"(Dated 9 August 1991) Termination as of 7 July 1991 of the state of siege and of the measures adopted on 1 and 2 May 1984, which were still in force through the national territory.",
Venezuela,1992-02-05,1992,ONU Art.4,suspensión de garantías,otro,,,,,"(Dated 4 February 1992) Temporary suspension of certain constitutional guarantees throughout Venezuela with a view to facilitating the full restoration of public order throughout the national territory. The Government of Venezuela specified that ""the measures were made necessary after criminal attempt was made to assassinate the President of the Republic with the aim of upsetting the rule of law and undermining the constitutional order of the Re public thereby constituting an attempt against the achievements of the Venezuelan people over more than three decades of fully democratic government"". The constitutional guarantees suspended in Venezuela relate to the rights provided for in articles 9, 12, 17, 19 and 21. The right to strike was also temporarily suspended.",
Venezuela,1992-02-05,1992,ONU Art.4,suspensión de garantías,otro,,,,,"(Dated 4 February 1992) Temporary suspension of certain constitutional guarantees throughout Venezuela with a view to facilitating the full restoration of public order throughout the national territory. The Government of Venezuela specified that ""the measures were made necessary after criminal attempt was made to assassinate the President of the Republic with the aim of upsetting the rule of law and undermining the constitutional order of the Re public thereby constituting an attempt against the achievements of the Venezuelan people over more than three decades of fully democratic government"". The constitutional guarantees suspended in Venezuela relate to the rights provided for in articles 9, 12, 17, 19 and 21. The right to strike was also temporarily suspended.",
Venezuela,1992-02-24,1992,ONU Art.4,suspensión de garantías,otro,,,,,"(Dated 21 February 1992) Restoration, as from 17 February 1991, of the guarantees provided for under articles 12 and 19 of the Covenant and also of the right to strike.",
Venezuela,1992-02-24,1992,ONU Art.4,suspensión de garantías,otro,,,,,"(Dated 21 February 1992) Restoration, as from 17 February 1991, of the guarantees provided for under articles 12 and 19 of the Covenant and also of the right to strike.",
Venezuela,1992-05-06,1992,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 30 April 1992) Restoration, as from 21 February 1991, of the guarantees provided for in articles 9, 17 and 21 of the Covenant, thereby fully ending the state of emergency declared on 4 February 1992.",
Venezuela,1992-05-06,1992,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 30 April 1992) Restoration, as from 21 February 1991, of the guarantees provided for in articles 9, 17 and 21 of the Covenant, thereby fully ending the state of emergency declared on 4 February 1992.",
Colombia,1992-07-21,1992,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 16 July 1992) By Legislative Decree No. 1155 of 10 July 1992, which was to remain in force until 16 July 1992, the Government of Colombia declared a state of emergency throughout the national territory.... The state of emergency was proclaimed in order to preserve public order by preventing the cartels responsible for the most serious assaults on public order from evading justice. The prospect of a torrent of releases on parole of persons, many of which ""awaiting trial for a wide vari of terrorist activities, ... in addition to the acts perpetrated by the drug-trafficking cartels which might have taken place under the provisions of a newly promulgated Code of Penal Procedure"", in disregard of the applicability of special legislation, was causing ""serious disturbances of public order"". The provisions of the Pact which were derogated from are articles 12, 17, 21 and 22.",
Colombia,1992-11-20,1992,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 10 November 1992) By legislative Decree No. 1793 of 8 November 1992 which was to remain in force until 6 February 1993, the Government of Colombia declared a state of emergency throughout the national territory for a period of 90 days.... The state of emergency was due to the fact that ""in recent weeks, the public order situation in the country ... has grown significantly worse because of terrorist activities by gorilla organizations and organized crime ... Those criminal groups have also managed to obstruct and evade judicial action because the criminal justice is unable to use military forces as a judicial police organ to gather the necessary evidence"". The provisions of the Pact which were derogated from are articles 12, 17, 21 and 22.",
Venezuela,1992-12-02,1992,ONU Art.4,suspensión de garantías,otro,,,,,"(Dated 30 November 1992) On 27 November 1992, certain constitutional guarantees relating to the rights provided for in articles 9, 17, 19 and 21 of the Covenant have been suspended in Venezuela. This measure was made necessary after a group of civil subversives in connivance with a small military squad took over Palo Negro air base in the city of Maracay, Aragua State, and Francisco de Miranda Base in the city of Caracas, which services as Headquarters of the Air Force Command, thereby threatening the democratic system. On 28 November 1992, restoration, as from that date, of the rights provided for in article 21 of the Covenant, so as to allow public electioneering in contemplation of the elections to be held on 6 December 1992.",
Venezuela,1992-12-02,1992,ONU Art.4,suspensión de garantías,otro,,,,,"(Dated 30 November 1992) On 27 November 1992, certain constitutional guarantees relating to the rights provided for in articles 9, 17, 19 and 21 of the Covenant have been suspended in Venezuela. This measure was made necessary after a group of civil subversives in connivance with a small military squad took over Palo Negro air base in the city of Maracay, Aragua State, and Francisco de Miranda Base in the city of Caracas, which services as Headquarters of the Air Force Command, thereby threatening the democratic system. On 28 November 1992, restoration, as from that date, of the rights provided for in article 21 of the Covenant, so as to allow public electioneering in contemplation of the elections to be held on 6 December 1992.",
Venezuela,1993-03-05,1993,ONU Art.4,suspensión de garantías,declaración,,,,,"Restoration, pursuant to Decree No. 2764 of 16 January 1993, of rights regarding personal liberty corresponding to articles 9 (1) and 11 of the Covenant throughout the national territory. Rights regarding liberty and security of person as well as the inviolability of the home and the right to demonstrate had been restored as from 22 December 1992. Restoration, pursuant to Decree No. 2672 of 1 December 1992 of certain rights which had been suspended by Decree No. 2668 of 27 November 1992. Suspension, pursuant to Decree 2765 of 16 January 1993, of certain rights in the State of Sucre as a result of a breach of the peace in that State. These rights, corresponding to articles 12 (1) and 21, were restored by Decree No. 2780 on 25 January 1993.",
Venezuela,1993-03-05,1993,ONU Art.4,suspensión de garantías,declaración,,,,,"Restoration, pursuant to Decree No. 2764 of 16 January 1993, of rights regarding personal liberty corresponding to articles 9 (1) and 11 of the Covenant throughout the national territory. Rights regarding liberty and security of person as well as the inviolability of the home and the right to demonstrate had been restored as from 22 December 1992. Restoration, pursuant to Decree No. 2672 of 1 December 1992 of certain rights which had been suspended by Decree No. 2668 of 27 November 1992. Suspension, pursuant to Decree 2765 of 16 January 1993, of certain rights in the State of Sucre as a result of a breach of the peace in that State. These rights, corresponding to articles 12 (1) and 21, were restored by Decree No. 2780 on 25 January 1993.",
Colombia,1993-03-29,1993,ONU Art.4,estado de emergencia,extensión,,,,,"(Dated 5 March 1993) In accordance with Legislative Decree No. 261, extension for a period of 90 days from 5 February 1993 until 7 May 1993 of the state of emergencyin effect throughout the national territory. The extension was made necessary due to a continuation of the public order disturbances described above. The provisions of the Pact which were derogated from are articles 12, 17, 21 and 22.",
Colombia,1994-05-27,1994,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 6 May 1994)) By legislative Decree No. 874 of 1 May 1994 which is to remain in force until 10 May 1994, declaration of the state of emergency throughout the national territory for the following reasons: Since November 1993, there has been a significant increase in the number of investigations carried out by the Procurator-General's Office. It has become necessary to take steps to ensure that the efforts made by the Procurator-General's Office to conclude on-going investigations are not hampered through improper situations such as obstructing an agreement, requesting the postponement of formal proceedings, etc. The large number of cases in which prior circumstances have prevented characterisation within the stipulated time-limit constitutes an unforeseen situation which is generating social insecurity, public anxiety, a lack of trust in the administration of justice and strengthening of the criminal and guerilla warfare organizations committed to disrupting law and order and destabilizing the institutions of government. In view of the foregoing, measures must be adopted to ensure that the difficulties that have arisen do not affect institutional stability, national security and civil harmony, a judicial emergency must be declared and consequently, transition measures must be adopted in the area of administration and penal procedure.",
Colombia,1994-06-08,1994,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"(Dated 27 May 1994) Termination of the state of civil unrest and extension of the applicability of the provisions relating to the judicial emergency. Pursuant to the Decree No. 874 of 1 May 1994 and in exercise of the powers conferred on the Government under article 213 of the Political Constitution, the Government enacted Legislative Decree No. 875 of 1 May 1994, ""by means of which a judicial emergency has been declared and measures have been adopted with regard to penal procedure"". Because of the declaration of judicial emergency, it was decided to suspend for two months, in respect of cases involving offences under the jurisdiction of regional and National Court judges, the time-limits established for obtaining release on bail. By means of Decree No. 951 of 10 May 1994, measures were adopted to strengthen the functioning of the justice system. The Government of Colombia has specified that the provision from which it has derogated is article 9 (3) of the Covenant.",
Venezuela,1994-07-07,1994,ONU Art.4,suspensión de garantías,declaración,,,,,"(Dated 29 June 1994) By Decree No. 241 of 27 June 1994, suspension of certain constitutional guarantees in view of the fact that the economic and financial situation of the country has created circumstances liable to endanger public order. Derogation from the provisions of articles 9, 12 and 17 of the Covenant.",
Venezuela,1994-07-07,1994,ONU Art.4,suspensión de garantías,declaración,,,,,"(Dated 29 June 1994) By Decree No. 241 of 27 June 1994, suspension of certain constitutional guarantees in view of the fact that the economic and financial situation of the country has created circumstances liable to endanger public order. Derogation from the provisions of articles 9, 12 and 17 of the Covenant.",
Trinidad y Tobago,1995-08-18,1995,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"(Dated 11 August 1995) By a Proclamation issued on 3 August 1995, a state of emergency has been declared in the City of Port of Spain as of 3 August 1995 owing to the fact that, as indicated by the Government of Trinidad and Tobago, action has been taken or is immediately threatened by persons or bodies of persons of such a nature and on so extensive a scale as to be likely to endanger the public safety or to deprive the community of supplies or services essential to life. The provisions of the Covenant from which the Government of Trinidiad and Tobago has derogated are articles 9, 12, 14 (3) and 21. The said state of emergency was lifted on 7 August 1995 by a resolution of the House of Representatives.",
Venezuela,1995-09-01,1995,ONU Art.4,suspensión de garantías,declaración,,,,,"(Dated 18 July 1995) By Decree No. 739 of 6 July 1995, restoratif the constitutional guarantees, suspended by Decree No. 241 of 27 June 1994 [see notification received on 7 July 1994] , throughout the national territory, except in the autonomous municipalities of Rosario de Perijá and Catatumbo, State of Zulia; García de Hevia, Pedro María Ureña, Bolivar, Panamericano and Fernández Feo, State of Táchira; Páez, Pedro Camejo and Rómulo Gallegos, State of Apure; and Atures, Atuana, Manapiare, Atabapo, Alto Orinoco and Guainía, State of Amazonas. The Government considers that the situation in these border municipalities, where the theatre of conflict and the theatre of operations No. 1 were decreed, requires that, in the interest of protecting its borders, the above guarantees remain suspended.",
Venezuela,1995-09-01,1995,ONU Art.4,suspensión de garantías,declaración,,,,,"(Dated 18 July 1995) By Decree No. 739 of 6 July 1995, restoratif the constitutional guarantees, suspended by Decree No. 241 of 27 June 1994 [see notification received on 7 July 1994] , throughout the national territory, except in the autonomous municipalities of Rosario de Perijá and Catatumbo, State of Zulia; García de Hevia, Pedro María Ureña, Bolivar, Panamericano and Fernández Feo, State of Táchira; Páez, Pedro Camejo and Rómulo Gallegos, State of Apure; and Atures, Atuana, Manapiare, Atabapo, Alto Orinoco and Guainía, State of Amazonas. The Government considers that the situation in these border municipalities, where the theatre of conflict and the theatre of operations No. 1 were decreed, requires that, in the interest of protecting its borders, the above guarantees remain suspended.",
Colombia,1995-11-07,1995,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 3 November 1995) By Decree No. 1900 of 2 November 1995, declaration of a State of internal disturbance throughout the national territory for a period of ninety (90) days. The state of internal disturbance by the National Government is justified by the fact that acts of violence attributed to criminal and terrorist organizations have occurred in difference regions of the country and are seriously and manifestly disturbing public order.",
Colombia,1996-03-25,1996,ONU Art.4,estado de emergencia,extensión,,,,,"(Dated 21 March 1996) First notification: By Legislative Decree No. 1901 of 2 November, the Government limits or restricts fundamental rights or freedoms laid down in the [said] Covenant. Second notification: By Decree No. 205 of 29 January 1996, the state of internal disturbance was extended for 90 calendar days, starting on 31 January 1996. The Government of Colombia has specified that the provision from which it has derogated are articles 17 and 9 respectively of the Covenant.",
Colombia,1996-05-07,1996,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 21 March 1996) Pursuant to paragraph 3 of Decree No. 0717 of 18 April 1996, the guarantee set forth in article 12 of the Covenant was to be restricted. The measure was adopted in connection with Decree No. 1900 of 2 November 1995 whereby the state of internal disturbance was declared throughout the national territory (see notification of 7 November 1995 above).",
Colombia,1996-06-21,1996,ONU Art.4,estado de emergencia,extensión,,,,,"(Dated 18 June 1996) First notification: By Decree No. 777 of 29 April 1996, the state of internal disturbance (proclaimed by Decree No. 1900 of 2 November 1995) was extended for a further period of 90 calendar days, starting on 30 April 1996. Second notification: By Decree No. 900 of 22 May 1996, measures were adopted to control the activities of criminal and terrorist organizations in special public-order zones. The provisions of the Pact which were derogated from are articles 9 (1) and 12.",
Colombia,1996-07-31,1996,ONU Art.4,estado de emergencia,extensión,,,,,"(Dated 30 July 1996) By Decree No. 1303 of 25 July 1996, lifting of the state of internal disturbance (proclaimed by Decree No. 1900 of 2 November 1995) and extension of some of the measures instituted by means of Decree No. 1901 of 2 November 1995, Decree No. 208 of 29 January 1996 and Decree No. 777 of 29 April 1996.",
Guatemala,1998-11-23,1998,ONU Art.4,derogación PIDCP,declaración,,,,,"(Dated 20 November 1998) By Decree No. 1-98 of 31 October 1998, declaration of the state of public disaster throughout the national territory for a period of thirty (30) days, in order to resolve the hazardous situation caused by Hurricane Mitch and to mitigate its effects.",
Ecuador,1999-01-14,1999,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 12 January 1999) Declaration of a state of emergency in Guayas province, indicating the the measures were prompted by the serious internal disturbance resulting from the massive crime wave in Guayas Province. Subsequently, the Government of Ecuador specified that the provisions from which it has derogated are articles 12 (1) and 17 (1) of the Covenant.",
Ecuador,1999-03-16,1999,ONU Art.4,estado de emergencia,declaración,,,,,"(Dated 15 March 1999) Decree No. 681 by the President of the Republic dated 9 March 1999 by which a state of national emergency was declared and the entire territory of the Republic established as a security zone, as from 9 March 1999.",
Venezuela,1999-03-22,1999,ONU Art.4,suspensión de garantías,declaración,,,,,"(Dated 3 March 1999) Resoration of the guarantees provided for in articles 9, 12 and 17 of the Covenant, suspended by Decree No. 739 of 6 July 1995 . [See notification received on 1 September 1995.]",
Venezuela,1999-03-22,1999,ONU Art.4,suspensión de garantías,declaración,,,,,"(Dated 3 March 1999) Resoration of the guarantees provided for in articles 9, 12 and 17 of the Covenant, suspended by Decree No. 739 of 6 July 1995 . [See notification received on 1 September 1995.]",
Ecuador,1999-04-12,1999,ONU Art.4,estado de emergencia,fin/levantamiento,,,,,"(Dated 22 March 1999) Decree No. 717 by the President of the Republic dated 18 March 1999 by which the state of national emergency declared by Decree No. 681 dated 9 March 1999, was lifted as from 18 March 1999.",
